price,address,price_m2,rooms,toilets,direction,floors,property_legal_document,house_type,furnishing_sell,width,length,living_size,size
"5,50 tỷ",Cập nhật 6 giờ trước,44 triệu/m²,2 phòng,2 phòng,Tây,1,Đã có sổ,"Nhà ngõ, hẻm",,,,172.1 m²,
"4,50 tỷ","Đường Lê Văn Quới, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","112,50 triệu/m²",4 phòng,3 phòng,Đông,4,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"5,50 tỷ","2, Nguyễn Thị Sẳng, Thị trấn Củ Chi, Huyện Củ Chi, Tp Hồ Chí Minh","18,33 triệu/m²",2 phòng,,Đông Nam,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,6 m,,,
3 tỷ,"Đường số 22, Phường An Khánh, Quận Ninh Kiều, Cần Thơ",75 triệu/m²,2 phòng,3 phòng,Đông Nam,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,,,
"3,55 tỷ","Đường Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Tp Hồ Chí Minh","110,94 triệu/m²",2 phòng,2 phòng,Đông Bắc,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,,,
"1,50 tỷ","Đường 1A, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh","37,50 triệu/m²",2 phòng,2 phòng,Nam,2,Không có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
68 tỷ,"18, Hẻm 39 Đông Hưng Thuận 2, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh","63,31 triệu/m²",nhiều hơn 10 phòng,Nhiều hơn 6 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,42 m,,,
"6,30 tỷ","Đường Đặng Đức Thuật, Phường Tam Hiệp, Thành phố Biên Hòa, Đồng Nai","43,45 triệu/m²",3 phòng,,Đông,2,Đã có sổ,Nhà phố liền kề,,10 m,14 m,,
"6,10 tỷ","62A, Đường số 22, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","82,10 triệu/m²",1 phòng,,Tây,1,Đã có sổ,"Nhà mặt phố, mặt tiền",,3.6 m,21 m,,
"15,30 tỷ",Cập nhật 21 giờ trước,"283,33 triệu/m²",4 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,54 m²
15 tỷ,"Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",150 triệu/m²,5 phòng,5 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,5 m,20 m,,
36 tỷ,"Đường Tên Lửa, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",200 triệu/m²,6 phòng,,,5,Đã có sổ,"Nhà mặt phố, mặt tiền",,9 m,20 m,752 m²,
"1,80 tỷ","Võ Văn Phẩm, Xã Bình Phú, Thành phố Bến Tre, Bến Tre","11,56 triệu/m²",3 phòng,,Đông Bắc,,Đã có sổ,"Nhà ngõ, hẻm",,5 m,31 m,,155.7 m²
"7,20 tỷ","Đường Số 21, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh","141,18 triệu/m²",2 phòng,1 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,3 m,,,
"2,65 tỷ","Đường Thượng Cát, Phường Thượng Cát, Quận Bắc Từ Liêm, Hà Nội","85,48 triệu/m²",2 phòng,1 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,3.5 m,,,
"5,58 tỷ",Cập nhật 1 ngày trước,"164,12 triệu/m²",3 phòng,,,5,Đã có sổ,"Nhà ngõ, hẻm",,,,,34 m²
1 tỷ,"Đường Nguyễn Cửu Phú, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh",10 triệu/m²,2 phòng,1 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,5 m,20 m,100 m²,
280 tỷ,"Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh","137,59 triệu/m²",nhiều hơn 10 phòng,Nhiều hơn 6 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,37 m,55 m,,2035 m²
"4,58 tỷ","Đường Thạnh Xuân 25, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","88,08 triệu/m²",3 phòng,4 phòng,Đông Bắc,3,Đã có sổ,Nhà phố liền kề,Hoàn thiện cơ bản,,,,
"2,65 tỷ",Cập nhật 1 ngày trước,"88,33 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,30 m²
"1,32 tỷ","Đường Hưng Nhơn, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh","14,67 triệu/m²",3 phòng,3 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,4.5 m,,,
"9,90 tỷ","Đường Cộng Hòa, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","123,75 triệu/m²",3 phòng,3 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,5 m,,,
"4,70 tỷ",Cập nhật 1 ngày trước,94 triệu/m²,3 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,50 m²
"3,85 tỷ","Đường Trần Văn Ơn, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương","48,13 triệu/m²",4 phòng,4 phòng,Đông Nam,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"3,73 tỷ","Đường Lê Văn Quới, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","84,77 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4 m,,,
"1,70 tỷ","Quốc lộ 13, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương","11,33 triệu/m²",6 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,5 m,30 m,150 m²,
"13,70 tỷ","Đường Số 2, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","148,11 triệu/m²",4 phòng,4 phòng,Tây,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,
"3,20 tỷ","Dt473a, Phường Bình Chuẩn, Thành phố Thuận An, Bình Dương","35,56 triệu/m²",3 phòng,,,2,Đã có sổ,Nhà phố liền kề,,4.5 m,20 m,,
"3,85 tỷ",Cập nhật 3 ngày trước,"64,17 triệu/m²",3 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,60 m²
"7,20 tỷ","b19/16 ấp 2 xã Hưng Long. huyện Bình Chánh, Đường Đoàn Nguyễn Tuấn, Xã Hưng Long, Huyện Bình Chánh, Tp Hồ Chí Minh","10,81 triệu/m²",2 phòng,1 phòng,,1,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,20 m,,,
"3,85 tỷ","Đường Trần Văn Ơn, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương","48,13 triệu/m²",4 phòng,4 phòng,Đông Nam,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"3,73 tỷ","Đường Lê Văn Quới, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","84,77 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4 m,,,
"6,60 tỷ",11 Nguyễn Bá Tuyển,"157,14 triệu/m²",1 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,3.9 m,13.5 m,42 m²,
20 tỷ,"Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","149,25 triệu/m²",4 phòng,5 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,5.1 m,,,
980 triệu,"Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh","15,08 triệu/m²",3 phòng,2 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,5 m,,,
"2,80 tỷ","Đường Văn Thánh 4, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng","26,67 triệu/m²",3 phòng,2 phòng,Đông Nam,,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,5 m,,,
"11,80 tỷ","Phố Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội","147,50 triệu/m²",5 phòng,,,,Đã có sổ,Nhà phố liền kề,,4.5 m,,,80 m²
"5,70 tỷ","Đường Cô Giang, Phường 2, Quận Phú Nhuận, Tp Hồ Chí Minh","162,86 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",,3.5 m,10 m,,
"8,85 tỷ","Đường Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội","221,25 triệu/m²",3 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,5.5 m,,,40 m²
"10,10 tỷ","Khu đô thị Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",202 triệu/m²,6 phòng,,,,Đã có sổ,Nhà phố liền kề,,4 m,12.5 m,,50 m²
